COLLEGE CODE,COLLEGE NAME,SUBJECTCODE,GOPENH/GOPENS RANK,GOPENS CUTOFF MARKS,GSCS RANK,GSCS CUTOFF,GSTS RANK,GSTS CUTOFF
5108,Nashik District Maratha Vidya Prasarak Samaj's Karamaveer Adv.Baburao Ganpatrao Thakre College of Engineering Nashik,510819110,38617,73.1965557,0,0,0,0
5109,Sandip Foundation Sandip Institute of Technology and Research Centre Mahirawani Nashik,510919110,50417,55.6552943,0,0,0,0
5121,K.K. Wagh Institute of Enginering Education and Research Nashik,512119110,22937,88.1107740,0,0,0,0
5121,K.K. Wagh Institute of Enginering Education and Research Nashik,512119110,32662,79.9609655,0,0,0,0
5124,Jagadamba Education Soc. Nashik's S.N.D. College of Engineering & Research Babulgaon,512419110,53420,50.4073637,0,0,0,0
5130,Brahma Valley College of Engineering & Research Trimbakeshwar Nashik,513019110,62679,33.5790792,0,0,0,0
5139,Pravara Rural College of Engineering Loni Pravaranagar Ahmednagar,513919110,37793,74.2184049,0,0,0,0
5151,MET Bhujbal Knowledge City MET League's Engineering College Adgaon Nashik,515119110,39672,71.9118212,0,0,0,0
5160,Sanjivani Rural Education Society's Sanjivani College of Engineering Kopargaon,516019110,37829,74.1745906,76093,17.3594867,78818,14.1632207
5161,Dr. Vithalrao Vikhe Patil College of Engineering Ahmednagar,516119110,36668,75.5527473,0,0,0,0
5162,Amrutvahini Sheti & Shikshan Vikas Sanstha's Amrutvahini College of Engineering Sangamner,516219110,34835,77.6826257,0,0,0,0
5173,SNJB's Late Sau. Kantabai Bhavarlalji Jain College of Engineering Jain Gurukul Neminagar Chandwad Nashik,517319110,51433,53.8187177,0,0,0,0
5176,G.H. Raisoni College of Engineering and Management Ahmednagar,517619110,84289,5.8348964,0,0,0,0
5177,Matoshri College of Engineering and Research Centre Eklahare Nashik,517719110,80859,11.3667142,0,0,0,0
5179,Vishwabharati Academy's College of Engineering Ahmednagar,517919110,59772,38.7629180,0,0,0,0
5181,Gokhale Education Society's R.H. Sapat College of Engineering Management Studies and Research Nashik,518119110,52670,51.6218506,0,0,0,0
5184,Amruta Vaishnavi Education & Welfare Trust's Shatabdi Institute of Engineering & Research Agaskhind Tal. Sinnar,518419110,32066,80.5403272,0,0,0,0
5303,Hon. Shri. Babanrao Pachpute Vichardhara Trust Group of Institutions Integrated Campus-Parikrama Kashti Shrigondha,530319110,76658,16.7431907,0,0,0,0
5331,Sandip Foundation's Sandip Institute of Engineering & Mnanagement Nashik,533119110,86676,1.2217290,0,0,0,0
